Combined_Ingredients,Label
"Almonds, Sugar, Butter, Flour",1
"Almonds, Sugar, Butter, Flour",1
"Chicken broth, , , Salt",1
"Chicken broth, , , Salt",1
"Cheese, , , Salt",1
"Buttermilk, Sugar, Vegetable oil, Garlic, herbs",1
"Popcorn, Sugar, Butter, Salt",1
"Romaine lettuce, , Olive oil, Parmesan cheese",1
"Grilled chicken, , Caesar dressing, Lettuce, Parmesan cheese",1
"Strawberries, Honey, Yogurt (milk, cultures), ",1
"Cheese, , , Tomato sauce",1
"Cheese, , , Tomato sauce, basil",1
"Potatoes, , Butter, Salt, Pepper",1
"Yogurt (milk, cultures), , , ",1
"Grilled chicken, , Caesar dressing, Lettuce, Parmesan cheese",1
"Tomatoes, , Olive oil, Mozzarella cheese, basil",1
"Mixed berries, Sugar, Yogurt (milk, cultures), ",1
"Romaine lettuce, , Olive oil, Caesar dressing",1
"Mixed berries, Sugar, Yogurt (milk, cultures), Granola",1
"Chicken, , Butter, Cream, Parmesan cheese",1
"Pesto sauce, , , Mozzarella cheese, basil",1
"Beef, , Sour cream, Mushroom, onion",1
"Bananas, Honey, Yogurt (milk, cultures), ",1
"Watermelon, , , Feta cheese, mint",1
"Chicken, , Bread crumbs, Parmesan cheese, Marinara sauce",1
"Mango, Sugar, Yogurt (milk, cultures), Cardamom",1
"Cucumbers, , Olive oil, Feta cheese, olives",1
"Butternut squash, , Butter, Vegetable broth",1
"Pasta, , Olive oil, Fresh tomatoes, mozzarella",1
"Lamb, , , Tzatziki sauce, tomatoes, onions",1
"Chicken, , Olive oil, Spinach, feta cheese",1
"Chicken, , Butter, Cream, Parmesan cheese",1
"Tomatoes, , Olive oil, Mozzarella cheese, basil",1
"Mushrooms, , Butter, Arborio rice, Parmesan cheese",1
"Greek yogurt, Honey, , Granola, mixed berries",1
"Eggplant, , Olive oil, Marinara sauce, cheese",1
"Bananas, Sugar, Milk, Vanilla pudding mix, cookies",1
"Pizza dough, , Olive oil, Mozzarella cheese, tomatoes, basil",1
"Chicken, , Caesar dressing, Romaine lettuce, Parmesan cheese",1
"Spinach, , Olive oil, Feta cheese, phyllo dough",1
"Mushrooms, , Butter, Vegetable broth",1
"Yogurt (milk, cultures), Honey, , ",1
"Spinach, , Cream cheese, sour cream, Parmesan cheese, garlic",1
"Chocolate, Sugar, Heavy cream, Vanilla extract",1
"Portobello mushrooms, , , Cheese, breadcrumbs",1
"Tomatoes, , Olive oil, Mozzarella cheese, basil",1
"Chicken, , Yogurt, Tandoori spices",1
"Beef, , Sour cream, Mushrooms, onions",1
"Strawberries, Sugar, Yogurt, Milk",1
"Chicken, , Butter, Parmesan cheese, garlic",1
"Mushrooms, , Olive oil, Goat cheese, herbs",1
"Pasta, , Olive oil, Mozzarella cheese, tomatoes, basil",1
"Pumpkin, , Butter, Nutmeg, cream",1
"Butternut squash, , Butter, Nutmeg, cream",1
"Tomatoes, , Olive oil, Mozzarella cheese, basil",1
"Chicken, , Butter, Lemon, capers",1
"Berries, Honey, Yogurt, Granola",1
"Mushrooms, , , Cheese, breadcrumbs",1
"Spinach, , Cream cheese, sour cream, Parmesan cheese, garlic",1
"Chocolate, Sugar, Heavy cream, Vanilla extract",1
"Portobello mushrooms, , , Cheese, breadcrumbs",1
"Tomatoes, , Olive oil, Mozzarella cheese, basil",1
"Chicken, , Yogurt, Tandoori spices",1
"Beef, , Sour cream, Mushrooms, onions",1
"Strawberries, Sugar, Yogurt, Milk",1
"Chicken, , Butter, Parmesan cheese, garlic",1
"Chicken, Sugar, Butter, Tomato sauce, cream",1
"Spinach, , Ghee, Paneer, spices",1
"Chicken, , Yogurt, Tandoori spices",1
"Lamb, , Ghee, Yogurt, Kashmiri red chili",1
"Paneer, , Oil, Tikka masala, spices",1
"Lentils, , Ghee, Cream, spices",1
"Cottage cheese, , Ghee, Creamy tomato sauce",1
"Chicken, Sugar, Ghee, Tomato sauce, cream",1
"Milk solids, Sugar, Ghee, Cardamom syrup",1
"Chicken, , Ghee, Creamy sauce, spices",1
"Chicken, , Cream, Spices",1
